game_id,genre_id
392,6
392,7
393,7
393,10
394,10
395,6
395,10
396,16
397,6
397,7
397,30
399,6
399,16
400,4
400,30
401,3
401,4
401,6
402,23
404,6
404,7
404,10
404,16
405,4
405,23
406,4
406,6
406,7
407,6
407,7
408,4
408,6
408,23
409,6
409,30
410,6
410,7
410,10
412,2
412,30
413,6
413,10
414,6
414,43
415,6
416,6
417,2
418,6
418,7
420,2
421,2
422,12
422,18
423,6
423,7
423,16
424,3
424,6
424,12
425,6
426,1
426,6
427,1
428,6
428,10
429,6
429,30
430,4
430,6
430,12
431,30
431,54
433,2
434,6
435,23
436,6
436,10
439,10
440,16
441,6
442,12
442,23
443,7
444,3
444,6
444,7
444,16
444,23
445,4
445,6
445,7
446,6
447,3
447,4
447,86
449,3
449,4
451,4
452,2
452,7
453,2
453,30
454,6
455,12
456,10
457,2
457,6
458,1
458,7
459,7
460,7
460,16
461,7
462,4
462,6
462,12
462,48
463,6
464,6
465,3
465,4
465,12
465,48
466,6
466,7
466,16
467,6
467,13
468,753
469,753
469,755
470,2
470,16
471,2
472,753
473,16
473,753
474,2
474,753
475,753
475,755
476,753
477,2
477,753
478,7
479,2
479,753
479,755
480,2
480,753
481,2
481,753
482,2
482,753
483,753
484,6
484,16
484,753
484,783
485,753
485,755
486,2
486,753
487,2
487,753
488,2
488,753
489,2
489,753
489,755
490,6
490,753
490,783
491,753
491,755
492,753
493,753
493,802
494,6
494,48
494,803
495,2
495,753
495,802
496,2
496,753
497,753
498,2
498,753
499,753
500,753
501,755
502,753
502,755
503,753
504,7
504,753
505,2
505,753
506,753
506,755
507,2
507,753
508,2
508,16
508,753
509,6
509,753
509,783
510,2
510,753
511,753
511,783
512,2
512,753
512,840
513,753
513,755
514,2
514,753
515,753
516,2
516,6
516,23
516,753
517,6
517,753
518,753
518,755
519,753
520,2
521,2
521,753
522,753
523,2
523,753
524,6
524,7
524,753
525,6
525,755
525,840
526,2
526,7
526,753
527,6
527,753
527,755
527,802
528,2
528,753
529,7
529,753
530,2
530,753
530,802
531,7
531,753
532,6
532,7
532,753
532,840
532,886
533,2
533,753
533,755
534,2
534,753
534,755
535,2
535,753
535,755
536,23
536,43
536,753
537,753
537,755
538,753
538,755
539,3
540,7
540,753
540,755
541,7
541,753
542,3
543,6
543,783
544,753
544,802
545,6
545,7
545,753
546,753
547,753
548,12
