game_id,genre_id
1,1
3,2
4,3
5,4
7,3
8,6
9,6
9,7
10,7
12,7
12,10
13,12
15,1
15,4
15,13
16,3
16,6
16,7
16,16
16,18
18,10
18,16
18,23
19,2
21,3
22,6
23,4
23,6
23,7
24,3
24,6
24,7
24,30
25,12
26,7
26,23
28,4
28,7
28,23
28,30
28,37
29,6
30,43
31,16
32,3
32,16
33,4
34,48
36,6
37,6
37,7
39,3
39,30
39,54
39,55
40,7
40,10
41,3
41,4
42,10
43,16
44,6
44,7
44,30
46,2
47,1
49,30
50,2
50,4
53,1
54,7
56,2
56,55
58,3
58,4
59,4
62,2
62,6
62,7
62,30
63,6
64,7
64,13
66,6
66,7
67,3
67,6
67,7
67,30
67,54
67,55
67,86
69,3
69,16
69,23
71,7
71,10
71,97
72,7
73,7
74,6
74,7
75,4
75,12
75,23
75,48
76,12
77,6
77,7
77,30
78,16
78,23
79,3
79,7
81,12
81,23
82,7
82,10
82,23
84,6
84,7
84,30
85,4
85,6
86,2
87,6
87,7
87,16
88,16
89,3
89,4
90,12
90,48
91,43
92,6
92,7
93,10
94,6
94,7
94,30
95,3
95,4
95,6
95,7
96,6
96,7
97,23
97,48
98,6
98,7
98,23
99,12
100,10
101,7
101,30
102,3
102,4
102,6
103,2
104,3
104,86
105,6
107,6
108,30
110,12
111,10
112,3
112,13
112,86
113,4
113,6
113,7
113,13
113,16
114,6
115,2
116,4
116,54
116,179
117,6
117,12
118,3
119,16
120,2
120,16
121,2
121,10
122,6
122,7
123,2
123,6
123,97
124,2
126,6
126,7
126,30
127,12
128,23
129,2
130,2
130,10
130,23
132,3
132,16
132,30
133,6
133,7
133,10
134,6
134,10
134,23
135,16
135,23
136,4
136,6
136,7
136,48
137,6
137,7
139,3
139,6
139,7
139,16
140,7
141,6
141,10
141,16
141,23
142,6
143,6
143,7
143,97
144,3
144,6
145,4
146,7
149,48
150,4
151,10
151,16
152,1
152,37
153,2
153,6
153,23
154,7
154,10
154,16
155,10
156,3
156,6
156,7
156,30
157,6
157,7
159,6
159,12
159,23
160,6
161,7
163,3
163,4
164,6
165,2
165,265
166,6
166,10
166,23
166,43
167,4
170,4
170,6
170,7
170,30
172,4
173,1
174,6
176,6
178,6
178,7
178,23
179,1
179,6
180,10
182,12
183,7
183,10
183,23
184,3
184,4
184,6
185,3
185,6
185,7
185,16
186,23
187,1
188,6
188,7
189,30
190,7
191,6
191,23
192,16
192,23
193,6
194,6
195,7
196,6
